Fecha;15/01/2025 12:45;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
COD_ART;NOM_ART;COD_GRU;Cj/H;Disponible;Calidad;Stock Externo;Pedido;1ª OF;OF;Cob-15;Vta -15;M_Vta -15;Vta -60;M_Vta-60;Vta -15 AA;M_Vta -15 AA;Vta +15 AA;M_Vta +15 AA;% Vta-15/ AA;% Vta-15/ +15 AA
244719;PANECILLO CON QUINOA (3%) 110 g;MEC;134,85314;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;1;0,1;589;39,3;;0,00%
274756;PAN PEPITO;MEC;160,28813;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;1.260;84;1.120;74,7;;7,50%
274757;PAN VIENA ANDALUZA INTEGRAL DE TRIGO 10%;MEC;205,7429;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;4.480;298,7;4.923;328,2;;6,10%
400121;Miniatura;MEC;196,35136;416;0;(en blanco);11;(en blanco);(en blanco);1,7;26;1,7;638;10,6;189;12,6;192;12,8;13,80%;6,60%
400221;Pepito;MEC;154,64788;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;3;0,2;;;;0,00%
400231;Pepito;MEC;160,18779;241;0;(en blanco);1;16/01/2025;324;5,5;83;5,5;1.122;18,7;222;14,8;288;19,2;37,40%;5,10%
400233;Pepito;MEC;160,28813;0;0;(en blanco);0;(en blanco);(en blanco);;;;352;5,9;320;21,3;;;;0,00%
401111;Bocata;MEC;224,45714;684;0;(en blanco);8;(en blanco);(en blanco);24,3;364;24,3;3.013;50,2;672;44,8;564;37,6;54,20%;7,90%
401113;Bocata;MEC;224,45714;0;0;(en blanco);0;(en blanco);(en blanco);;;;256;4,3;224;14,9;;;;0,00%
401301;Baguette Plus;MEC;160,34482;946;0;(en blanco);369;(en blanco);(en blanco);2,5;37;2,5;884;14,7;340;22,7;292;19,5;10,90%;7,80%
401421;Barra Castellana;MEC;137,06227;341;0;(en blanco);112;(en blanco);(en blanco);;;;85;1,4;2;0,1;364;24,3;;0,00%
401423;Barra Castellana;MEC;120,91656;0;0;(en blanco);0;(en blanco);(en blanco);;;;96;1,6;288;19,2;;;;0,00%
401621;Media Baguette;MEC;138,09751;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;1;0,1;;;;0,00%
